本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,5,1.436377,0.506108,1.231632,46.615386,1.148064,0.025425,8.23,-0.31849,-1.282791,0.057642,0.06233,-3.067871,5.371
1,1,0.484581,0.229289,0.473584,1.586663,1.180995,-0.144109,15.56,0.026522,0.147949,0.314228,0.436772,1.364825,3.135
0,0,0.58469,0.270697,0.518953,2.9813,1.076993,-1.109456,24.84,0.232159,0.156214,0.24904,0.41359,1.385822,3.828
1,1,0.34638,0.014567,0.364296,3.972407,0.994708,0.133983,20.34,0.217932,0.237187,1.276958,2.075602,5.459548,3.057
1,1,0.719433,0.369672,0.729022,3.461125,1.948955,0.0224,30.9,0.055694,-0.400328,0.356058,0.546874,-1.201388,4.576
0,0,0.595965,0.412697,0.570483,1.493593,1.531867,-0.018127,27.66,0.101364,0.152252,0.609717,1.213693,1.621367,4.112
0,0,0.489346,0.172976,0.367143,4.370909,1.080737,0.054551,46.18,0.131415,0.299794,0.821709,1.635285,3.275722,4.88
1,5,0.333058,0.27805,0.312216,1.956907,4.628625,-0.165337,25.39,0.182591,-0.019985,0.174318,0.311584,0.843368,3.71
1,2,0.276579,0.019022,0.204809,2.851601,1.047819,-0.219544,28.12,0.215063,0.439387,0.656041,1.042042,3.46043,4.708
1,4,0.718684,0.466986,0.58149,4.78409,2.792727,0.01353,18.05,-0.110435,-0.050888,0.162019,0.307451,0.52131,4.179
0,0,0.429673,0.423896,0.62588,3.302736,1.218722,-1.096922,21.36,0.121749,0.176274,0.922168,1.51072,2.440062,4.261
1,4,0.679305,0.479926,0.805943,2.274324,4.068369,-0.106868,25,0.077922,-0.051488,1.058637,2.137264,1.122204,3.78
0,0,0.233793,0.198774,0.33417,1.659818,2.404301,0.063355,35.58,0.157136,0.203869,0.38642,0.728148,3.966342,2.74
0,0,0.614654,0.3353,0.495515,2.493057,1.171348,-0.297254,29.47,0.087775,0.191244,0.619719,0.900195,1.835342,4.316
1,5,0.681367,0.225976,0.522613,2.189102,1.040935,-0.033895,11.66,0.056025,-0.257273,1.863854,5.755037,0.576625,5.344
1,3,0.507826,0.299242,0.466946,1.660062,1.908719,-0.118544,22.54,0.044812,-0.095517,0.993604,1.369144,0.966284,3.927
1,1,0.245668,0.046098,0.261132,7.04771,1.077245,0.022666,50.27,0.137377,0.250379,0.839589,1.378978,7.902869,3.02
0,0,0.170395,0.11276,0.190608,1.477313,1.161855,0.094939,48.24,0.142131,0.057975,0.475589,1.961895,2.491102,3.947
1,2,0.181323,0.010718,0.3669,2.939156,1.74707,-0.312315,18.86,-1.318286,-0.172442,0.187356,0.556407,3.457025,5.089
1,5,0.294656,0.299374,0.373652,2.768683,1.392833,0.025548,27.4,0.047815,-0.131526,0.48946,2.527844,1.916851,3.732
0,0,0.565447,0.489988,0.545297,2.680811,1.403671,-0.05798,39.19,0.571997,0.149724,0.133575,0.173211,1.378049,5.652
1,8,0.727562,0.478105,0.750085,1.888302,5.294493,-0.379877,32.35,0.098607,0.013593,0.282631,0.559301,0.255109,3.506
1,9,0.563071,0.270598,0.44781,0.518938,1.148064,-0.201227,29.97,0.055473,0.213731,0.24029,0.334345,1.201382,3.947
1,1,0.615186,0.213333,0.418385,2.157142,1.185293,-0.533967,24.75,0.082855,0.039771,0.725497,1.93696,1.306514,2.958
1,4,0.507853,0.381241,0.649413,1.909875,1.303916,-0.070596,14.03,0.043853,-0.009378,0.864227,1.39879,1.205913,3.199
1,1,0.486955,0.266191,0.524399,1.60205,3.0773,0.262641,21.16,0.020968,0.068888,0.549204,0.983999,1.427012,4.75
